INVOICE_NO,vcurr Net Revenue,INVOICE_DATE,$ Net Revenue,$ Gross Revenue,vcurr Gross Revenue,Sum of TONS_QTY
VKR-136734,15064,2024-05-08 00:00:00,16149,16148.6649,15064.053078358207,7.2345352179254006
VKR-136735,39053,2024-05-08 00:00:00,41865,41864.5936,39052.79253731343,21.0533764554575
VKR-136736,39053,2024-05-08 00:00:00,41865,41864.5936,39052.79253731343,21.153624905151197
VKR-136737,39053,2024-05-08 00:00:00,41865,41864.5936,39052.79253731343,21.0897454916841
VKR-136738,39053,2024-05-08 00:00:00,41865,41864.5936,39052.79253731343,21.070127621681596
VKR-136739,49712,2024-05-08 00:00:00,53292,53291.54,49712.25746268657,25.3658469462244
VKR-136740,32781,2024-05-08 00:00:00,35142,35141.5227,32781.271175373135,16.2015302056762
VKR-136741,33240,2024-05-08 00:00:00,35633,35633.0126,33239.75055970149,15.187542606236
VKR-136742,23268,2024-05-08 00:00:00,24943,24943.1088,23267.82537313433,10.585380812444901
VKR-136743,42234,2024-05-08 00:00:00,45275,45274.571299999996,42233.74188432835,22.114850640113
VKR-136744,35864,2024-05-08 00:00:00,38446,38446.4954,35864.26809701492,15.6639824239129
VKR-136745,40660,2024-05-13 00:00:00,43588,43587.726,40660.192164179105,20.382721992717702
VKR-136746,15064,2024-05-10 00:00:00,16149,16148.6649,15064.053078358207,7.3445041521081995
VKR-136747,356,2024-05-10 00:00:00,381,381.1554,355.5554104477612,0.0384011300442
VKR-136748,9478,2024-05-10 00:00:00,10161,10160.7892,9478.348134328357,21.889179364190603
VKR-136749,44049,2024-05-10 00:00:00,47220,47220.318,44048.80410447761,19.252619282481202
VKR-136750,19015,2024-05-13 00:00:00,20385,20384.5406,19015.429664179104,9.965338186349701
VKR-136752,41427,2024-05-13 00:00:00,44410,44409.616599999994,41426.88115671641,21.566593542494
VKR-136753,16017,2024-05-13 00:00:00,17170,17170.4169,16017.17994402985,8.1575775471806
VKR-136754,16017,2024-05-13 00:00:00,17170,17170.4169,16017.17994402985,7.889540743900199
VKR-136755,26734,2024-05-13 00:00:00,28659,28658.896099999998,26734.04486940298,9.8235588192588
VKR-136756,52786,2024-05-13 00:00:00,56587,56586.9564,52786.33992537313,22.083130925678898
VKR-136757,6742,2024-05-14 00:00:00,7227,7226.906599999999,6741.517350746268,3.0864692816650003
VKR-136758,41245,2024-05-14 00:00:00,44215,44214.8566,41245.202052238805,22.4136818293927
VKR-136759,41245,2024-05-14 00:00:00,44215,44214.8567,41245.20214552238,22.4416820863928
VKR-136760,41245,2024-05-14 00:00:00,44215,44214.8566,41245.202052238805,22.4186804173101
VKR-136761,39053,2024-05-14 00:00:00,41865,41864.5936,39052.79253731343,21.0019844399365
VKR-136762,39053,2024-05-14 00:00:00,41865,41864.5936,39052.79253731343,20.9998525557975
VKR-136763,18369,2024-05-14 00:00:00,19692,19691.9662,18369.371455223878,6.3492453816253
VKR-136764,39053,2024-05-14 00:00:00,41865,41864.5936,39052.79253731343,21.0369881631294
VKR-136765,10225,2024-05-14 00:00:00,10962,10961.733900000001,10225.498041044777,5.4141148157096
VKR-136766,3646,2024-05-15 00:00:00,3908,3908.1629,3645.674347014925,1.7289625726527
VKR-136767,1037,2024-05-15 00:00:00,1111,1111.4494,1036.7998134328357,0.43199230134059996
VKR-136768,29700,2024-05-06 00:00:00,31838,31838.3939,29699.99430970149,16.5000030569836
VKR-136769,37530,2024-05-15 00:00:00,40232,40231.9531,37529.80699626866,18.1754190503578
VKR-136770,22434,2024-05-15 00:00:00,24049,24048.8982,22433.67369402985,7.7758614241308
VKR-136771,4118,2024-05-15 00:00:00,4415,4414.9829,4118.454197761193,0.0725747792
VKR-136772,21283,2024-05-16 00:00:00,22815,22815.3089,21282.937406716417,9.9111656496006
VKR-136773,14788,2024-05-16 00:00:00,15852,15852.3846,14787.672201492536,7.0588679648718
VKR-136774,2906,2024-05-16 00:00:00,3115,3115.0974,2905.8744402985076,1.5001252219877
VKR-136775,37608,2024-05-16 00:00:00,40316,40316.2085,37608.40345149254,18.940407118286497
VKR-136776,3439,2024-05-16 00:00:00,3686,3686.1737,3438.594869402985,1.5250365149481002
VKR-136777,18144,2024-05-16 00:00:00,19450,19450.3643,18143.99654850746,8.8801774081328
VKR-136778,4800,2024-05-16 00:00:00,5146,5145.599,4799.999067164179,0.38400222859460004
VKR-136784,34474,2024-05-17 00:00:00,36957,36956.5245,34474.36986940298,17.3333792465372
VKR-136785,3188,2024-05-17 00:00:00,3418,3417.8604,3188.3026119402984,4.777960588631999
VKR-136786,6470,2024-05-17 00:00:00,6936,6936.0248,6470.172388059701,8.8317881741012
VKR-136787,2406,2024-05-17 00:00:00,2579,2579.4995,2406.2495335820895,1.3750017667232
VKR-136788,48986,2024-05-17 00:00:00,52513,52513.450899999996,48986.4280783582,21.207860944832102
VKR-136789,35864,2024-05-17 00:00:00,38446,38446.4954,35864.26809701492,15.6660780206623
VKR-136790,738316,2024-05-17 00:00:00,791474,791474.3999999999,738315.6716417909,389.0836606224569
VKR-136791,3870,2024-05-17 00:00:00,4149,4148.6392,3869.999253731343,5.049299544366
VKR-136792,6384,2024-05-17 00:00:00,6844,6843.6467,6383.998787313432,7.996130414926499
VKR-136793,546,2024-05-17 00:00:00,585,585.3119,545.999906716418,0.019050879539999996
VKR-136794,45912,2024-05-17 00:00:00,49217,49217.4295,45911.78124999999,19.6376103424424
VKR-136795,3764,2024-05-15 00:00:00,4035,4035.2752,3764.2492537313433,1.5541253936362
VKR-136796,10538,2024-05-21 00:00:00,11296,12484.0272,11645.54776119403,5.692493525026
VKR-136797,25828,2024-05-21 00:00:00,27688,31134.09,29042.994402985074,14.6582365978356
VKR-136798,15064,2024-05-21 00:00:00,16149,16148.6649,15064.053078358207,7.344508688031899
VKR-136799,15064,2024-05-21 00:00:00,16149,16148.6649,15064.053078358207,7.3295083883559995
VKR-136800,41245,2024-05-21 00:00:00,44215,44214.8566,41245.202052238805,22.3876773788206
VKR-136801,41245,2024-05-21 00:00:00,44215,44214.8566,41245.202052238805,22.4106790479033
VKR-136802,41245,2024-05-21 00:00:00,44215,44214.8566,41245.202052238805,22.415686707668097
VKR-136803,41245,2024-05-21 00:00:00,44215,44214.8566,41245.202052238805,22.4156912435918
VKR-136804,14325,2024-05-21 00:00:00,15356,15356.3971,14324.997294776118,5.415747748241601
VKR-136805,6173,2024-05-21 00:00:00,6618,6617.8514,6173.368843283582,2.5185126674169003
VKR-136806,74810,2024-05-21 00:00:00,80197,80196.5726,74810.23563432835,17.847997933997
VKR-136807,2200,2024-05-21 00:00:00,2358,2358.3995,2199.9995335820895,0.00045359237000000004
VKR-136808,38206,2024-05-21 00:00:00,40957,40956.8241,38205.99263059701,20.788183676337
VKR-136809,18163,2024-05-21 00:00:00,19471,19470.8962,18163.149440298504,8.2619672952124
VKR-136810,393,2024-05-21 00:00:00,421,421.277,392.98227611940297,0.0384011300442
VKR-136811,41245,2024-05-22 00:00:00,44215,44214.8566,41245.202052238805,22.473678492172603
VKR-136812,41245,2024-05-22 00:00:00,44215,44214.8566,41245.202052238805,22.4436869646682
VKR-136813,41245,2024-05-22 00:00:00,44215,44214.8566,41245.202052238805,22.432682813772
VKR-136814,41245,2024-05-22 00:00:00,44215,44214.8566,41245.202052238805,22.4016843112062
VKR-136815,41245,2024-05-22 00:00:00,44215,44214.8566,41245.202052238805,22.4256793475792
VKR-136816,19922,2024-05-22 00:00:00,21356,21356.3263,19921.946175373134,24.518391249506
VKR-136817,672,2024-05-21 00:00:00,720,720.3839,671.9999067164179,0.8473831219391998
VKR-136818,16138,2024-05-22 00:00:00,17300,17299.504,16137.597014925374,5.5173524391216
VKR-136819,49050,2024-05-21 00:00:00,52582,52581.5899,49049.99057835821,22.231900151191496
VKR-136820,42668,2024-05-22 00:00:00,45740,45740.4758,42668.35429104477,21.9148753719511
VKR-136821,196,2024-05-21 00:00:00,211,210.6385,196.49113805970148,0.0192005650221
VKR-136822,6035,2024-05-22 00:00:00,6469,6469.068499999999,6034.578824626865,0.0009071847400000001
VKR-136823,9982,2024-05-22 00:00:00,10701,10700.605500000001,9981.908115671642,23.7437371281726
VKR-136824,51644,2024-05-22 00:00:00,55363,55362.6254,51644.24011194029,22.4588687012921
VKR-136825,51644,2024-05-22 00:00:00,55363,55362.6254,51644.24011194029,22.5018783298155
VKR-136826,45265,2024-05-23 00:00:00,48525,48524.6067,45265.49132462686,22.4378492308663
VKR-136827,5311,2024-05-23 00:00:00,5693,5693.2837,5310.898973880597,2.8591015702788
VKR-136828,8016,2024-05-24 00:00:00,8594,8593.5492,8016.370522388059,11.8012578398484
VKR-136829,4737,2024-05-24 00:00:00,5078,5077.8924,4736.839925373134,7.222002460742299
