INVOICE_NO,vcurr Net Revenue,INVOICE_DATE,$ Net Revenue,$ Gross Revenue,vcurr Gross Revenue,Sum of TONS_QTY
VKR-136638,65785,2024-04-29 00:00:00,71113,71113.34389999999,65784.77696577243,17.7031250669427
VKR-136639,25725,2024-04-29 00:00:00,27809,27808.8926,25725.15504162812,8.0884364622215
VKR-136640,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.5549063196058
VKR-136641,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.5269332781479
VKR-136642,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.5499213394595
VKR-136643,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.5629122249363
VKR-136644,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.5499122676121
VKR-136645,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.572909400771099
VKR-136646,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.5179158618323
VKR-136647,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.4999263884381
VKR-136648,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.4559188567007
VKR-136649,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.5878960926759
VKR-136650,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.4279049919295
VKR-136651,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.411915860887
VKR-136652,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.4419119243151
VKR-136653,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.293909269907799
VKR-136654,45945,2024-04-29 00:00:00,49667,49666.5654,45945.018871415356,20.112848140338798
VKR-136655,28967,2024-04-29 00:00:00,31314,31313.5862,28967.23977798335,9.599398005928501
VKR-136656,7499,2024-04-29 00:00:00,8107,8106.8711,7499.418223866791,3.0300696063792
VKR-136657,14336,2024-04-29 00:00:00,15497,15497.087300000001,14335.88094357077,6.240342389512
VKR-136658,6509,2024-04-29 00:00:00,7036,7035.9853,6508.7745605920445,2.9490897605631003
VKR-136659,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.2668842365032
VKR-136660,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.2788817546897
VKR-136661,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.2678821397172
VKR-136662,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.2828960471642
VKR-136663,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.3468797868764
VKR-136664,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.7378945535112
VKR-136665,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.3438906131581
VKR-136666,20981,2024-04-26 00:00:00,22680,22680,20980.573543015726,8.2969075154735
VKR-136668,17206,2024-04-30 00:00:00,18600,18600,17206.290471785385,0.014061363470000001
VKR-136675,13434,2024-04-30 00:00:00,14523,14522.5771,13434.391396854766,6.4251722084396
VKR-136676,4593,2024-04-30 00:00:00,4964,4964.4945,4592.50185013876,2.7499989975226997
VKR-136677,10484,2024-04-30 00:00:00,11333,11333.3167,10484.10425531915,5.36509055236
VKR-136678,468,2024-04-30 00:00:00,506,505.5082,467.63015726179464,0.00045359237000000004
VKR-136679,16253,2024-04-30 00:00:00,17569,17569.4461,16252.95661424607,6.6966744574268
VKR-136680,8382,2024-04-30 00:00:00,9060,9060.4905,8381.582331174839,2.7620055875566
VKR-136681,40482,2024-04-30 00:00:00,43761,43760.693600000006,40481.67770582795,19.647684628980098
VKR-136682,47616,2024-04-30 00:00:00,51473,51473.3214,47616.393524514344,21.4258937252437
VKR-136683,13492,2024-04-30 00:00:00,14585,14585.2878,13492.403145235894,6.137141053489599
VKR-136684,36942,2024-04-30 00:00:00,39934,49034.1802,45360.01868640148,20.2358669270065
VKR-136685,36942,2024-04-30 00:00:00,39934,49034.1802,45360.01868640148,20.236864830220497
VKR-136686,36942,2024-04-30 00:00:00,39934,49034.1802,45360.01868640148,20.236864830220497
VKR-136687,36942,2024-04-30 00:00:00,39934,49034.1802,45360.01868640148,20.1928572984831
VKR-136688,36942,2024-04-30 00:00:00,39934,49034.1802,45360.01868640148,20.1848559290763
VKR-136689,36942,2024-04-30 00:00:00,39934,49034.1802,45360.01868640148,20.1928572984831
VKR-136690,36942,2024-04-30 00:00:00,39934,49034.1802,45360.01868640148,20.211871890633503
VKR-136691,36942,2024-04-30 00:00:00,39934,49034.1802,45360.01868640148,20.2398585398625
VKR-136692,36942,2024-04-30 00:00:00,39934,49034.1802,45360.01868640148,20.312855159966603
VKR-136693,35472,2024-05-02 00:00:00,38026,38025.5148,35471.562313432834,16.4120197449747
VKR-136694,15064,2024-05-02 00:00:00,16149,16148.6649,15064.053078358207,7.2245879372513
VKR-136695,34042,2024-05-02 00:00:00,36493,36493.119699999996,34042.08927238805,15.9752692596728
VKR-136696,44014,2024-05-02 00:00:00,47183,47183.0235,44014.01445895522,21.300747590360697
VKR-136697,180,2024-05-02 00:00:00,193,192.96,180,0.014401557747500002
VKR-136698,10549,2024-05-01 00:00:00,11309,11308.9051,10549.35177238806,4.001047577296
VKR-136699,32749,2024-05-02 00:00:00,35106,35106.4163,32748.52266791044,15.160444998052201
VKR-136700,15475,2024-05-01 00:00:00,16589,16589.2862,15475.08041044776,7.2541168005383
VKR-136702,140907,2024-04-30 00:00:00,152320,152320,140906.56799259945,92.24351958679549
VKR-136703,1138196,2024-04-30 00:00:00,1230390,1230390,1138196.1147086031,731.0880347623313
VKR-136704,15064,2024-05-02 00:00:00,16149,16148.6649,15064.053078358207,7.2095422783384
VKR-136705,33933,2024-05-02 00:00:00,36376,36376.4328,33933.2395522388,16.2195060712993
VKR-136706,6918,2024-05-02 00:00:00,7416,7416.1911,6918.088712686566,4.1061222498065
VKR-136707,40405,2024-05-02 00:00:00,43314,43313.8837,40404.74225746268,23.13185009289
VKR-136708,589,2024-05-02 00:00:00,632,631.928,589.4850746268656,0.05805528743629999
VKR-136709,50977,2024-05-03 00:00:00,54648,54647.8695,50977.490205223876,22.71998822093
VKR-136710,5370,2024-05-03 00:00:00,5757,5756.6389,5369.998973880596,0.5399971805613
VKR-136711,31464,2024-05-03 00:00:00,33730,33729.691,31464.26399253731,15.1696846746291
VKR-136712,36064,2024-05-03 00:00:00,38661,38660.8954,36064.26809701492,15.686185770424398
VKR-136713,18303,2024-05-03 00:00:00,19621,19620.9602,18303.134514925372,8.898543363194099
VKR-136714,39053,2024-05-06 00:00:00,41865,41864.5936,39052.79253731343,21.0196291831295
VKR-136715,39053,2024-05-06 00:00:00,41865,41864.5936,39052.79253731343,21.019611039434697
VKR-136716,31227,2024-05-06 00:00:00,33475,33474.9669,31226.64822761194,9.9285337014479
VKR-136717,27232,2024-05-06 00:00:00,29193,29192.912900000003,27232.194869402985,9.4255042990416
VKR-136718,9543,2024-05-06 00:00:00,10230,10230.3888,9543.273134328358,23.3351728727425
VKR-136720,56855,2024-05-06 00:00:00,60949,60948.8163,56855.23908582089,17.7061278484321
VKR-136721,56855,2024-05-06 00:00:00,60949,60948.8163,56855.23908582089,17.7631217297226
VKR-136722,24324,2024-05-06 00:00:00,26076,26075.6446,24324.295335820894,13.2063101010841
VKR-136723,37926,2024-05-06 00:00:00,40657,40656.6642,37925.9927238806,21.0297579007516
VKR-136724,6116,2024-05-07 00:00:00,6556,6556.1232,6115.786567164178,2.9780697770824
VKR-136725,7934,2024-05-07 00:00:00,8505,8505.032,7933.798507462685,3.2180518922783
VKR-136726,10432,2024-05-07 00:00:00,11183,11182.9946,10431.897947761194,5.1583658297325
VKR-136727,25151,2024-05-07 00:00:00,26962,26961.7277,25150.86539179104,12.1504423181218
VKR-136728,74810,2024-05-07 00:00:00,80197,80196.5726,74810.23563432835,17.838495173845498
VKR-136729,18632,2024-05-07 00:00:00,19974,19973.5002,18631.996455223878,8.699956087684399
VKR-136730,45278,2024-05-08 00:00:00,48538,48537.7923,45277.791324626865,20.9001166654819
VKR-136731,45278,2024-05-08 00:00:00,48538,48537.7923,45277.791324626865,20.892119831998805
VKR-136732,31227,2024-05-07 00:00:00,33475,33474.9669,31226.64822761194,10.2205610051776
VKR-136733,27232,2024-05-07 00:00:00,29193,29192.912900000003,27232.194869402985,9.2855438373544
