INVOICE_NO,vcurr Net Revenue,INVOICE_DATE,$ Net Revenue,$ Gross Revenue,vcurr Gross Revenue,Sum of TONS_QTY,$ Act Extended Cost,$ Std Extended Cost
VKR-134685,3972,7/7/2023 0:00,4345,4345.0275,3971.688756855576,1.884998348,4356.57,4351.571
VKR-134692,250,7/7/2023 0:00,273,273.4999,249.99990859232176,0.000453592,0,0
VKR-134693,40639,7/10/2023 0:00,44459,44458.9636,40638.906398537474,21.27658472,44568.52,44955.7201
VKR-134694,6446,7/10/2023 0:00,7052,7051.676200000001,6445.773492,2.489346678,5288.834999999999,5224.1673
VKR-134695,9767,7/10/2023 0:00,10686,10685.642500000002,9767.497714808045,4.527972226,8688.6813,7748.933300000001
VKR-134696,18983,7/10/2023 0:00,20768,20767.7756,18983.341499085924,7.343869123,16544.01,16911.4896
VKR-134697,1551,7/10/2023 0:00,1696,1696.4605,1550.6951553930528,0.548043909,1002.28,1026.6752
VKR-134698,262,7/10/2023 0:00,287,286.628,261.99999999999994,0.019654157,166.78,168.476
VKR-134699,2540,7/11/2023 0:00,2779,2778.7593,2539.9993601462525,0.000453592,0,0
VKR-134700,18604,7/11/2023 0:00,20352,20352.417800000003,18603.67257769653,7.623971483,18913.7036,20506.7565
VKR-134701,841,7/11/2023 0:00,920,919.5808,840.5674588665447,0.27365227682099996,755.7132,856.9849
VKR-134702,15726,7/11/2023 0:00,17204,17203.75,15725.548446069468,7.669734417,15063.4,15008.5313
VKR-134703,11256,7/11/2023 0:00,12314,12313.691,11255.659049360145,5.23968587,10464.34,10454.45
VKR-134704,33540,7/11/2023 0:00,36692,36692.341,33539.61700182815,14.13934507,25054.4605,28666.3883
VKR-134705,352,7/11/2023 0:00,385,384.9261,351.8520109689214,0.03840113,150.24,175.04
VKR-134706,41934,7/11/2023 0:00,45876,45876.1953,41934.36499085923,22.58782048,40337.7593,42878.1813
VKR-134707,41934,7/11/2023 0:00,45876,45876.1953,41934.36499085923,22.58676814,40457.8823,42878.1813
VKR-134708,41934,7/11/2023 0:00,45876,45876.1954,41934.36508226691,22.55683105,49790.087400000004,42878.1813
VKR-134709,41934,7/12/2023 0:00,45876,45876.1953,41934.36499085923,22.562827536572403,51999.292400000006,42878.1813
VKR-134710,41934,7/12/2023 0:00,45876,45876.1953,41934.36499085923,22.57779608,56816.5224,42878.1813
VKR-134711,3935,7/12/2023 0:00,4305,4305.0944,3935.1868372943322,1.50227525,2860.08,2929.7101
VKR-134712,2161,7/12/2023 0:00,2365,2364.6364,2161.4592321755026,1.1259976992879999,2777.49,2492.679
VKR-134713,7504,7/12/2023 0:00,8209,8209.1273,7503.772669104204,3.474671776,6994.24,6995.889300000001
VKR-134714,11256,7/12/2023 0:00,12314,12313.691,11255.659049360145,5.214271089,10535.19,10517.4644
VKR-134715,7504,7/12/2023 0:00,8209,8209.1273,7503.772669104204,3.473764591,7008.86,7003.7771
VKR-134716,38950,7/12/2023 0:00,42611,52432.399,47927.23857404022,20.3978493,36636.534,38975.391
VKR-134717,4167,7/12/2023 0:00,4558,4558.3353,4166.668464351005,5.8307258,4345.4448,4034.3985
VKR-134718,38950,7/12/2023 0:00,42611,52432.399,47927.23857404022,20.341848784257003,36389.3377,38975.391
VKR-134719,19963,7/3/2023 0:00,21840,21840,19963.43692870201,7.8589187230015005,25449.12,25448.9781
VKR-134720,38509,7/12/2023 0:00,42129,42129.383,38509.49085923217,17.16066488,35358.891800000005,36703.5577
VKR-134721,38950,7/12/2023 0:00,42611,52432.399,47927.23857404022,20.323845703091703,36362.6177,38975.391
VKR-134722,38950,7/13/2023 0:00,42611,52432.399,47927.23857404022,20.341848784257003,36397.4565,38975.391
VKR-134723,39690,7/12/2023 0:00,43421,43420.8497,39689.99058500914,21.55987584,38505.4288,40732.902
VKR-134724,41934,7/12/2023 0:00,45876,45876.1953,41934.36499085923,22.56182056,49764.0124,42878.1813
VKR-134725,41934,7/12/2023 0:00,45876,45876.1953,41934.36499085923,22.60672621,70579.6924,42878.181300000004
VKR-134726,4186,7/12/2023 0:00,4580,4579.5376,4186.048994515539,2.3823442379429003,4925.6428,5084.0368
VKR-134727,38950,7/13/2023 0:00,42611,52432.399,47927.23857404022,20.61769645,40649.5183,38975.391
VKR-134728,55912,7/13/2023 0:00,61168,61168.2604,55912.48665447897,22.205750551060998,66340.3608,61168.275
VKR-134729,3972,7/13/2023 0:00,4345,4345.0278,3971.6890310786102,0.000453592,0,0
VKR-134730,36193,7/13/2023 0:00,39596,49417.0622,45170.98921389396,20.355851180718897,41765.1177,38975.391
VKR-134731,40481,7/13/2023 0:00,44287,44286.6821,40481.42787934186,22.651835967337497,43109.1512,42839.2896
VKR-134732,11915,7/13/2023 0:00,13035,13034.7193,11914.73427787934,5.218811549,10498.06,10470.2145
VKR-134733,5574,7/13/2023 0:00,6099,6098.5016000000005,5574.498720292505,1.4693172282173002,4153.3342999999995,4848.8159
VKR-134734,9319,7/13/2023 0:00,10195,10195.0382,9319.047714808044,4.161909575392801,8495.1307,7740.9362
VKR-134735,19721,7/13/2023 0:00,21575,21574.5501,19720.79533820841,6.788980504721801,20597.498600000003,17898.6824
VKR-134736,23928,7/14/2023 0:00,26178,26177.718100000002,23928.44433272395,10.11908332,21391.426,21412.9276
VKR-134737,36193,7/14/2023 0:00,39596,49417.0622,45170.98921389396,20.36185221,41776.9477,38975.391
VKR-134738,31127,7/14/2023 0:00,34053,34052.8341,31126.90503,13.6701718,28696.7894,29724.1003
VKR-134739,36193,7/14/2023 0:00,39596,49417.0622,45170.98921389396,20.36785323,41787.7777,38975.391
VKR-134740,44917,7/14/2023 0:00,49139,49138.8545,44916.68601462523,21.43175414,43965.7887,55859.1586
VKR-134741,12036,7/14/2023 0:00,13167,13167,12035.648994515539,7.587039992,14830.1529,16238.0232
VKR-134742,12036,7/14/2023 0:00,13167,13167,12035.648994515539,7.560037639,14775.123,16238.0232
VKR-134743,12036,7/14/2023 0:00,13167,13167,12035.648994515539,7.515027668,14763.2334,16238.0232
VKR-134744,12036,7/14/2023 0:00,13167,13167,12035.648994515539,7.501025271224101,14852.354,16238.0232
VKR-134745,12036,7/14/2023 0:00,13167,13167,12035.648994515539,7.4950242441690005,14846.064,16238.0232
VKR-134746,12036,7/14/2023 0:00,13167,13167,12035.648994515539,7.5050259559275005,14878.8642,16238.0232
VKR-134747,12036,7/14/2023 0:00,13167,13167,12035.648994515539,7.573037596,14971.3142,16238.0232
VKR-134748,12036,7/14/2023 0:00,13167,13167,12035.648994515539,7.581038965292099,14953.7442,16238.0232
VKR-134749,12036,7/14/2023 0:00,13167,13167,12035.648994515539,7.565036226478501,14633.1242,16238.0232
VKR-134750,12036,7/14/2023 0:00,13167,13167,12035.648994515539,7.513040933105399,14608.0426,16238.0232
VKR-134751,12036,7/14/2023 0:00,13167,13167,12035.648994515539,7.545032803,14506.6142,16238.0232
VKR-134752,12036,7/14/2023 0:00,13167,13167,12035.648994515539,7.5390408477538005,14498.7042,16238.0232
VKR-134753,12036,7/14/2023 0:00,13167,13167,12035.648994515539,7.524875158038701,14686.4949,16238.0232
VKR-134754,12036,7/14/2023 0:00,13167,13167,12035.648994515539,7.555034514720001,14579.3142,16238.0232
VKR-134755,12036,7/14/2023 0:00,13167,13167,12035.648994515539,7.579038622940399,14607.2642,16238.0232
VKR-134756,450,7/14/2023 0:00,492,492.2999,449.9999085923217,0.000453592,0,0
VKR-134757,40464,7/14/2023 0:00,44268,44268.0978,40464.44040219378,14.89005859,26822.253099999998,30013.529
VKR-134758,36193,7/14/2023 0:00,39596,49417.0622,45170.98921389396,20.341848784257003,41666.2077,38975.391
VKR-134759,21352,7/14/2023 0:00,23359,23358.6448,21351.594881170015,22.39076181,16358.850499999999,15723.9635
VKR-134760,12558,7/14/2023 0:00,13738,13738.4487,12557.996983546618,5.744493354,10263.2099,10862.1072
VKR-134761,17267,7/14/2023 0:00,18890,18889.7415,17266.674131627056,6.047892218768399,13453.44,13453.5744
VKR-134762,41012,7/14/2023 0:00,44867,44867.390900000006,41012.24031078611,14.416499080167801,30461.8716,31424.7999
VKR-134763,36193,7/14/2023 0:00,39596,49417.0622,45170.98921389396,20.38585632,41821.1377,38975.391
VKR-134764,36193,7/14/2023 0:00,39596,49417.0622,45170.98921389396,20.375854604235897,41802.4477,38975.391
VKR-134765,38000,7/17/2023 0:00,41572,41571.9901,37999.990950639854,0.90718474,0,0
VKR-134766,21352,7/17/2023 0:00,23359,23358.6448,21351.594881170015,22.32461443,16358.4305,15711.2622
VKR-134767,21352,7/17/2023 0:00,23359,23358.6448,21351.594881170015,23.38097209,16288.7865,15715.7038
VKR-134768,44383,7/17/2023 0:00,48555,48555.3186,44383.28939670932,23.406944793447597,43787.0838,46036.165499999996
VKR-134769,9940,7/17/2023 0:00,10874,10874.0684,9939.733455210237,4.597122383,9051.32,9018.3452
VKR-134770,7114,7/17/2023 0:00,7783,7783.2612,7114.498354661791,2.65710328,6113.5658,10434.6595
VKR-134771,16064,7/17/2023 0:00,17574,17573.6585,16063.673217550275,7.677558885704399,18258.4836,20506.7565
VKR-134772,18427,7/17/2023 0:00,20160,20159.6802,18427.49561243144,9.021580294,19360.5152,20884.656899999998
VKR-134773,8374,7/17/2023 0:00,9161,9160.880299999999,8373.747989031077,12.89258747,9646.9995,7814.1795
VKR-134775,36193,7/18/2023 0:00,39596,49417.0622,45170.98921389396,20.324861750000498,41518.6177,38975.391
VKR-134776,22097,7/17/2023 0:00,24174,24173.7701,22096.681992687387,10.28778793,21477.0605,22424.221199999996
VKR-134777,42625,7/17/2023 0:00,46632,46631.6295,42624.889853747714,17.14636765,37589.0744,39403.0355
VKR-134778,51107,7/17/2023 0:00,55911,55911.4823,51107.38784277879,21.40338194,52608.7074,55074.913799999995
VKR-134779,87249,7/17/2023 0:00,95450,95450.156,87248.77148080438,21.62395483,51874.2321,52881.8814
VKR-134780,52211,7/17/2023 0:00,57119,57119.0939,52211.237568555756,21.20386026,37163.219,44971.605
VKR-134781,36193,7/18/2023 0:00,39596,49417.0622,45170.98921389396,20.31585341,41502.4677,38975.391
