INVOICE_NO,vcurr Net Revenue,vcurr Gross Revenue,INVOICE_DATE,$ Net Revenue,$ Gross Revenue
VKR-136218,60772,60771.59981549815,2/2/2024 0:00,65876,65876.4142
VKR-136219,29349,29349.344649446495,2/2/2024 0:00,31815,31814.6896
VKR-136220,6763,6762.601660516604,2/1/2024 0:00,7331,7330.660199999999
VKR-136221,43535,43534.81060885609,2/6/2024 0:00,47192,47191.7347
VKR-136222,41475,41475.403413284126,2/6/2024 0:00,44959,44959.3373
VKR-136223,15445,15444.867804428044,2/6/2024 0:00,16742,16742.2367
VKR-136224,33143,33142.85202952029,2/5/2024 0:00,35927,35926.851599999995
VKR-136225,2154,2153.6061808118084,2/5/2024 0:00,2335,2334.5091
VKR-136226,750,750.4576568265682,2/6/2024 0:00,813,813.4961
VKR-136227,14981,14981.40369,2/6/2024 0:00,16240,16239.8416
VKR-136228,51810,51809.637638376385,2/7/2024 0:00,56162,56161.64720000001
VKR-136229,14301,14300.803505535054,2/6/2024 0:00,15502,15502.071
VKR-136230,1650,1650.000369,2/6/2024 0:00,1789,1788.6004
VKR-136231,24287,24286.50590405904,2/6/2024 0:00,26327,26326.5724
VKR-136232,28378,28378.449907749073,2/7/2024 0:00,30762,30762.2397
VKR-136233,32796,32795.614575645755,2/7/2024 0:00,35550,35550.4462
VKR-136234,7580,7579.916881918819,2/7/2024 0:00,8217,8216.6299
VKR-136235,13104,13104.153228782288,2/7/2024 0:00,14205,14204.902100000001
VKR-136236,331041,331040.59040590405,2/9/2024 0:00,358848,358848
VKR-136237,87444,87444.02131,2/9/2024 0:00,94789,94789.3191
VKR-136238,8568,8568.002121771216,2/9/2024 0:00,9288,9287.7143
VKR-136239,89760,89760.02186346863,2/12/2024 0:00,97300,97299.8637
VKR-136240,14548,14547.538745387452,2/12/2024 0:00,15770,15769.532
VKR-136242,40987,40986.75996309963,2/13/2024 0:00,44430,44429.6478
VKR-136243,15965,15965.378874538743,2/13/2024 0:00,17306,17306.470699999998
VKR-136244,375,374.70719557195565,2/13/2024 0:00,406,406.1826
VKR-136249,7713,7712.736900369005,2/14/2024 0:00,8361,8360.606800000001
VKR-136250,1638,1638.000369,2/14/2024 0:00,1776,1775.5924
VKR-136251,36295,36295.07638376384,2/14/2024 0:00,39344,39343.8628
VKR-136252,9261,9261.002214022139,2/13/2024 0:00,10039,10038.9264
VKR-136253,2639,2638.5241697416973,2/14/2024 0:00,2860,2860.1602
VKR-136254,2427,2427.0005535055348,2/14/2024 0:00,2631,2630.8686
VKR-136255,1536,1536.390405904059,2/14/2024 0:00,1665,1665.4472
VKR-136256,34317,34317.343173431735,2/14/2024 0:00,37200,37200
VKR-136257,2967,2967.200738,2/14/2024 0:00,3216,3216.4456
VKR-136258,43535,43534.81060885609,2/15/2024 0:00,47192,47191.7347
VKR-136259,43535,43534.81060885609,2/15/2024 0:00,47192,47191.7347
VKR-136260,43535,43534.81060885609,2/15/2024 0:00,47192,47191.7347
VKR-136261,37770,37770.485977859775,2/15/2024 0:00,40943,40943.2068
VKR-136262,2298,2298.4773985239854,2/15/2024 0:00,2492,2491.5495
VKR-136263,1,1.467250922509225,2/15/2024 0:00,2,1.5905
VKR-136264,103462,103461.80811808119,2/16/2024 0:00,112153,112152.6
VKR-136265,1972,1971.6038745387455,2/16/2024 0:00,2137,2137.2186
VKR-136266,38754,38754.092343173426,2/16/2024 0:00,42009,42009.4361
VKR-136267,38754,38754.092343173426,2/16/2024 0:00,42009,42009.4361
VKR-136268,6782,6781.966143911439,2/16/2024 0:00,7352,7351.6513
VKR-136269,43535,43534.81060885609,2/16/2024 0:00,47192,47191.7347
VKR-136270,43535,43534.81060885609,2/16/2024 0:00,47192,47191.7347
VKR-136271,43535,43534.81060885609,2/16/2024 0:00,47192,47191.7347
VKR-136272,4214,4213.933763837638,2/16/2024 0:00,4568,4567.9042
VKR-136273,1068,1067.9154981549816,2/16/2024 0:00,1158,1157.6204
VKR-136274,3567,3567.3758302583024,2/19/2024 0:00,3867,3867.0354
VKR-136275,500,500.0000922509225,2/19/2024 0:00,542,542.0001
VKR-136276,40240,40240.259778597785,2/19/2024 0:00,43620,43620.4416
VKR-136281,13600,13600.00332103321,2/20/2024 0:00,14742,14742.4036
VKR-136282,13600,13600.00332103321,2/20/2024 0:00,14742,14742.4036
VKR-136283,43535,43534.81060885609,2/21/2024 0:00,47192,47191.7347
VKR-136284,38698,38697.60940959409,2/21/2024 0:00,41948,41948.2086
VKR-136285,38698,38697.60940959409,2/21/2024 0:00,41948,41948.2086
VKR-136286,38698,38697.60940959409,2/21/2024 0:00,41948,41948.2086
VKR-136287,38698,38697.60940959409,2/21/2024 0:00,41948,41948.2086
VKR-136288,38698,38697.60940959409,2/21/2024 0:00,41948,41948.2086
VKR-136289,36279,36279.008856088556,2/21/2024 0:00,39326,39326.4456
VKR-136290,2363,2363.400553505535,2/21/2024 0:00,2562,2561.9262
VKR-136291,14981,14981.40369,2/21/2024 0:00,16240,16239.8416
VKR-136292,19893,19893.43607,2/21/2024 0:00,21564,21564.4847
VKR-136293,53863,53863.43809963099,2/21/2024 0:00,58388,58387.9669
VKR-136294,2428,2428.200553505535,2/21/2024 0:00,2632,2632.1694
VKR-136295,24377,24377.045387453873,2/21/2024 0:00,26425,26424.7172
VKR-136296,38754,38754.092343173426,2/21/2024 0:00,42009,42009.4361
VKR-136297,41475,41475.403413284126,2/22/2024 0:00,44959,44959.3373
VKR-136298,8292,8291.512915129151,2/22/2024 0:00,8988,8988
VKR-136299,28978,31183.207564575645,2/22/2024 0:00,31412,33802.597
VKR-136300,38754,38754.092343173426,2/22/2024 0:00,42009,42009.4361
VKR-136301,38754,38754.092343173426,2/23/2024 0:00,42009,42009.4361
VKR-136302,38754,38754.092343173426,2/23/2024 0:00,42009,42009.4361
VKR-136303,38754,38754.092343173426,2/23/2024 0:00,42009,42009.4361
VKR-136304,2630,2629.976107,2/23/2024 0:00,2851,2850.8941
VKR-136305,40466,40465.68265682657,2/23/2024 0:00,43865,43864.8
VKR-136306,40466,40465.68265682657,2/23/2024 0:00,43865,43864.8
VKR-136307,40466,40465.68265682657,2/23/2024 0:00,43865,43864.8
VKR-136308,40466,40465.68265682657,2/23/2024 0:00,43865,43864.8
VKR-136309,40466,40465.68265682657,2/23/2024 0:00,43865,43864.8
VKR-136310,40466,40465.68265682657,2/23/2024 0:00,43865,43864.8
VKR-136311,40466,40465.68265682657,2/23/2024 0:00,43865,43864.8
VKR-136312,40466,40465.68265682657,2/23/2024 0:00,43865,43864.8
VKR-136313,40466,40465.68265682657,2/23/2024 0:00,43865,43864.8
VKR-136314,40466,40465.68265682657,2/23/2024 0:00,43865,43864.8
VKR-136315,40466,40465.68265682657,2/23/2024 0:00,43865,43864.8
VKR-136316,10951,10951.403505535056,2/23/2024 0:00,11871,11871.3214
VKR-136317,5333,5332.951291512915,2/23/2024 0:00,5781,5780.9192
VKR-136318,33094,33093.75811808118,2/26/2024 0:00,35874,35873.6338
VKR-136319,15454,15453.723800738006,2/26/2024 0:00,16752,16751.8366
VKR-136320,2298,2298.4773985239854,2/26/2024 0:00,2492,2491.5495
VKR-136321,0,0.3255535055350553,2/26/2024 0:00,0,0.3529
VKR-136322,2536,2536.088560885609,2/26/2024 0:00,2749,2749.12
VKR-136323,34087,34087.488284132836,2/26/2024 0:00,36951,36950.8373
VKR-136324,27266,27265.569557195573,2/26/2024 0:00,29556,29555.8774
VKR-136325,2508,2508.1963099630993,2/26/2024 0:00,2719,2718.8848
VKR-136326,21821,21821.30811808118,2/27/2024 0:00,23654,23654.298
VKR-136327,5984,5984.191143911438,2/27/2024 0:00,6487,6486.8632
VKR-136328,5253,5252.501291512915,2/27/2024 0:00,5694,5693.7114
VKR-136329,2613,2613.4506457564576,2/27/2024 0:00,2833,2832.9805
VKR-136330,5905,5904.5892066420665,2/28/2024 0:00,6401,6400.5747
VKR-136331,4215,4215.455996309963,2/29/2024 0:00,4570,4569.5543
VKR-136332,1600,1600.000369,2/27/2024 0:00,1734,1734.4004
VKR-136333,11608,11607.752859778597,2/29/2024 0:00,12583,12582.8041
VKR-136334,12147,12146.678966789666,2/29/2024 0:00,13167,13167
VKR-136335,12147,12146.678966789666,2/29/2024 0:00,13167,13167
VKR-136336,12147,12146.678966789666,2/29/2024 0:00,13167,13167
VKR-136337,12147,12146.678966789666,2/29/2024 0:00,13167,13167
VKR-136338,12147,12146.678966789666,2/29/2024 0:00,13167,13167
VKR-136339,12147,12146.678966789666,2/29/2024 0:00,13167,13167
VKR-136340,45145,45145.43357933579,2/29/2024 0:00,48938,48937.65
VKR-136341,42766,42765.98542435424,2/29/2024 0:00,46358,46358.3282
VKR-136342,2,2.1,2/28/2024 0:00,2,2.2764
VKR-136343,614,613.8001845,2/28/2024 0:00,665,665.3594
VKR-136344,4581,4581.190212373038,3/1/2024 0:00,4961,4961.429
VKR-136345,5017,5017.213758079409,3/1/2024 0:00,5434,5433.6425
VKR-136346,4369,4368.730378578024,3/1/2024 0:00,4731,4731.335
VKR-136347,12158,12157.894736842105,3/1/2024 0:00,13167,13167
VKR-136348,12158,12157.894736842105,3/1/2024 0:00,13167,13167
VKR-136349,14610,14609.700554016621,3/1/2024 0:00,15822,15822.3057
VKR-136350,11049,11049.198707294554,3/1/2024 0:00,11966,11966.282200000001
VKR-136351,12158,12157.894736842105,3/1/2024 0:00,13167,13167
VKR-136352,12158,12157.894736842105,3/1/2024 0:00,13167,13167
VKR-136353,12158,12157.894736842105,3/1/2024 0:00,13167,13167
VKR-136354,33518,33517.50120036935,3/1/2024 0:00,36299,36299.4538
VKR-136355,5030,5029.800184672207,3/1/2024 0:00,5447,5447.2736
VKR-136356,51680,51680.00193905817,3/4/2024 0:00,55969,55969.4421
VKR-136357,50446,50445.76685133888,3/4/2024 0:00,54633,54632.7655
VKR-136358,31529,31528.604247460757,3/4/2024 0:00,34145,34145.4784
VKR-136359,500,500,3/1/2024 0:00,542,541.5
VKR-136360,0,0,2/20/2024 0:00,0,0
VKR-136362,35389,35388.81634,3/6/2024 0:00,38326,38326.0881
VKR-136363,19543,19542.60073868883,3/6/2024 0:00,21165,21164.6366
VKR-136365,6300,6300.000277008311,3/6/2024 0:00,6823,6822.9003
VKR-136366,34944,34944.00129270545,3/6/2024 0:00,37844,37844.3534
VKR-136367,47471,47470.50175438597,3/6/2024 0:00,51411,51410.553400000004
VKR-136368,122715,122715.44875346261,3/6/2024 0:00,132901,132900.831
VKR-136369,13266,13266.284487534625,3/6/2024 0:00,14367,14367.3861
VKR-136370,40320,40320.00147737766,3/7/2024 0:00,43667,43666.5616
VKR-136371,44113,44112.60166204986,3/7/2024 0:00,47774,47773.9476
VKR-136372,44113,44112.60166204986,3/7/2024 0:00,47774,47773.9476
VKR-136373,711,710.6188365650969,3/7/2024 0:00,770,769.6002
VKR-136374,12158,12157.894736842105,3/7/2024 0:00,13167,13167
VKR-136375,12158,12157.894736842105,3/7/2024 0:00,13167,13167
